id,ik,locationName,address,coordinates,distance,email,website,furtherProducts,phone,adress,handler_type,company_purpose,management,registration_number,profit_year,profit_amount,company_url
9040,330662604,Sanitätshaus König GmbH,"{'street': 'Untergasse 12', 'streetAddition': '', 'zip': '34576', 'city': 'Homberg', 'phone': '', 'title': '', 'active': False}","{'lat': 51.033253945585, 'lon': 9.4035599924183}",0,info@sanitaetshaus-koenig.de,sanitaetshaus-koenig.de,[],+49 6691 1309,"Bahnhofstr. 2A, 34613 Schwalmstadt","Sanitätshaus, Reha und Orthopädie","Sanitätshaus König GmbH ist ein Sanitätshaus mit Fokus auf Reha und Orthopädie. Es bietet Dienstleistungen in Schwalmstadt, Homberg/Efze und Bad Zwesten an. Das Unternehmen ist bestrebt, Menschen durch seine Produkte und Dienstleistungen ein gesundes und aktives Leben zu ermöglichen.","Thorsten König, Michael König",HRB 4365 Amtsgericht Marburg,,,https://www.companyhouse.de/Sanitaetshaus-Koenig-GmbH-Schwalmstadt
8564,330321929,Sanitätshaus König Inh. Dieter Eichenberg,"{'street': 'Friedrich-Ludwig-Jahn-Str. 6', 'streetAddition': '', 'zip': '31582', 'city': 'Nienburg', 'phone': '', 'title': '', 'active': False}","{'lat': 52.640750979859, 'lon': 9.2073509562077}",0,,,[],,,,,,,,,
13876,331204177,Sanitätshaus Koeppe Eberswalde GmbH & Co. KG,"{'street': 'Rudolf-Breitscheid-Str. 2', 'streetAddition': '', 'zip': '16225', 'city': 'Eberswalde', 'phone': '', 'title': '', 'active': False}","{'lat': 52.831885998352, 'lon': 13.809707976969}",0,,,[],+49 3334 354206,"Frankfurter Allee 18, 16227 Eberswalde",Großhandel,Sanitätshaus,"Lars Koeppe, Doris Jerichow",HRA 3345 Amtsgericht Frankfurt/Oder,,,https://www.companyhouse.de/Sanitaetshaus-Koeppe-Eberswalde-GmbH-Co-KG-Eberswalde
13950,331204326,Sanitätshaus Kohn Annabel Kohn,"{'street': 'Grabowstr. 20', 'streetAddition': '', 'zip': '17291', 'city': 'Prenzlau', 'phone': '', 'title': '', 'active': False}","{'lat': 53.313668985394, 'lon': 13.866219913515}",0,,,[],,,,,,,,,
14343,330660566,Sanitätshaus Korn GmbH,"{'street': 'Bahnhofstr. 54 - 56', 'streetAddition': '', 'zip': '34582', 'city': 'Borken', 'phone': '', 'title': '', 'active': False}","{'lat': 51.046740984274, 'lon': 9.2810499997583}",0,,,[],,"Bahnhofstraße 54-56, 34582 Borken",Großhandel,"Betreiben von Handelsgeschäften und Beratung in den Bereichen stationäre und ambulante Alten- und Krankenpflege, Rehabilitation, Hygiene sowie des medizinischen und labortechnischen Primärbedarfes und Erbringung von handwerklichen Zurichtungen und Dienstleistungen im Bereich der Orthopädie, Reha-Technik, des Prothesenbaues sowie artverwandter Tätigkeiten. Die Firma darf andere Unternehmen gleicher oder ähnlicher Art erwerben, vertreten oder sich an solchen Unternehmen beteiligen. Sie darf auch Geschäfte vornehmen, des Erreichungs- und Förderungszweckes dienlich sein können. Sie darf Zweigniederlassungen im In- und Ausland errichten.","Roman Korn, Dieter Korn",Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/Korn-GmbH-Borken
12610,330920822,Sanitätshaus Kraus GmbH & Co. KG  Sanitätshaus,"{'street': 'Veilchengasse 11', 'streetAddition': '', 'zip': '94469', 'city': 'Deggendorf', 'phone': '', 'title': '', 'active': False}","{'lat': 48.832545343463, 'lon': 12.960455080407}",0,,,[],+49 991 370880,"Veilchengasse 11, 94469 Deggendorf","Sanitäts- und Reha-Technik, Orthopädie-Technik, Schuhtechnik sowie Homecare-Dienstleistungen","Sanitätshaus Kraus GmbH & Co. KG ist ein Anbieter von Sanitäts-, Reha- und Orthopädie-Technik-Produkten und -Dienstleistungen. Das Unternehmen zeichnet sich durch seine umfangreichen Öffnungszeiten und seinen Standort in  aus. Sein Zweck ist es, Menschen mit Mobilitätseinschränkungen zu unterstützen und ihre Lebensqualität zu verbessern.","Katrin Scholler Peisl, Rainer Czuday",Gesellschaft mit beschränkter Haftung & Co. Kommanditgesellschaft,,,https://www.companyhouse.de/Firma-geaendert-nun-Sanitaetshaus-Kraus-GmbH-Co-KG-Deggendorf
12729,330840164,Sanitätshaus Krüger Inh. Philipp Schweizer,"{'street': 'Metzgerstr. 15', 'streetAddition': '', 'zip': '72764', 'city': 'Reutlingen', 'phone': '', 'title': '', 'active': False}","{'lat': 48.493803993583, 'lon': 9.2113889732413}",0,,,[],,,,,,,,,
11803,330400093,Sanitätshaus Kuhlendahl GmbH & Co. KG,"{'street': 'Waller Heerstr. 54', 'streetAddition': '', 'zip': '28217', 'city': 'Bremen', 'phone': '', 'title': '', 'active': False}","{'lat': 53.098983996768, 'lon': 8.7876779980663}",0,,,[],,,,,,,,,
11948,330832493,Sanitätshaus Labianca GmbH,"{'street': 'Am Marktplatz 4', 'streetAddition': '', 'zip': '77704', 'city': 'Oberkirch', 'phone': '', 'title': '', 'active': False}","{'lat': 48.529370420699, 'lon': 8.080067323254}",0,,,[],,"Am Marktpl. 4, 77704 Oberkirch",Herstellung von sonstigen Waren,Vertrieb von orthopädischen Hilfsmitteln und von Sanitätsbedarf sowie von Orthopädietechnik.,Marco Carlo Labianca,HRB 722944 Amtsgericht Freiburg,,,https://www.companyhouse.de/Sanitaetshaus-Labianca-GmbH-Oberkirch
13783,330346519,Sanitätshaus LanCas GmbH & Co. KG,"{'street': 'Rhauderwieke 3', 'streetAddition': '', 'zip': '26817', 'city': 'Rhauderfehn', 'phone': '', 'title': '', 'active': False}","{'lat': 53.136764999521, 'lon': 7.5729539723239}",0,,,[],+49 4961 6609990,"Siemensstr. 1, 26871 Papenburg",,Sanitätshaus,"Carsten Kramer, Dennis Langes",HRA 201857 Amtsgericht Osnabrück,,,https://www.companyhouse.de/Sanitaetshaus-LanCas-GmbH-Co-KG-Papenburg
