name,address-street,address-zipcode,address-place,google_search_link,category,phone,adress,website,email,handler_type,company_purpose,management,registration_number,profit_year,profit_amount,company_url
medi.pro Service GmbH,Elberfelder Str. 107,42477.0,Radevormwald,https://www.google.de/search?q=medi.pro+Service+GmbH+Elberfelder+Str.+107+42477+Radevormwald,Inkontinenzhilfen%2C+ableitend,+49 2195 9286570,"Hohenzollernring 57, 50672 Köln",,info@medipro-deutschland.de,Vertrieb von medizinischen Hilfmitteln und Pflegehilfmitteln sowie Beratungsdienstleistungen im Bereich medizinischer Hilfmitel und Pflegehilfmitteln,"Service GmbH ist ein Unternehmen, sich auf den Vertrieb von medizinischen Hilfsmitteln und Pflegehilfsmitteln spezialisiert hat. Es bietet Beratungsdienstleistungen im Bereich medizinischer Hilfmitel und Pflegehilfmitteln an. Das Unternehmen zeichnet sich durch seine Konzentration auf die Gesundheitsbranche und seine breite Palette an Produkten und Dienstleistungen aus.","Anneliese Stähler Rimpp, Werner Rimpp",HRB 96464 Amtsgericht Köln,,,https://www.companyhouse.de/medipro-Service-GmbH-Koeln
Sonnen-Apotheke Dr. Marion Kottwitz,Schloßstr. 60,51429.0,Bergisch Gladbach,https://www.google.de/search?q=Sonnen-Apotheke+Dr.+Marion+Kottwitz+Schlo%C3%9Fstr.+60+51429+Bergisch+Gladbach,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
Care Center Deutschland GmbH,"Sinterstr. 8, 8 a - b",44795.0,Bochum,https://www.google.de/search?q=Care+Center+Deutschland+GmbH+Sinterstr.+8%2C+8+a+-+b+44795+Bochum,Inkontinenzhilfen%2C+ableitend,+49 9155 9500,"Sinterstr. 8 8A/8B, 44795 Bochum",care-center.de,info@care-center.de,Gesundheits- und Pflegedienstleistungen,"Care Center Deutschland GmbH ist ein Unternehmen, sich auf die Bereitstellung von medizintechnischen Versorgungen und Pflegehilfsmitteln spezialisiert hat. Die wichtigsten Merkmale des Unternehmens sind die umfassende Palette an Produkten und Dienstleistungen, es bietet, darunter Rehatechnik, Orthopädietechnik, Medizintechnik und Homecare. Der Hauptzweck der Geschäftstätigkeit von Care Center Deutschland GmbH besteht darin, Menschen mit Behinderungen oder chronischen Krankheiten zu unterstützen und ihnen eine höhere Lebensqualität zu ermöglichen.",Uwe Brockmann,Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/Care-Center-Deutschland-GmbH-Bochum
Salgert Verwaltungs GmbH,Schloßstr. 82 a,51429.0,Bergisch Gladbach,https://www.google.de/search?q=Salgert+Verwaltungs+GmbH+Schlo%C3%9Fstr.+82+a+51429+Bergisch+Gladbach,Inkontinenzhilfen%2C+ableitend,,"Kölnerstr. 151-153, 41539 Dormagen",,,"Rechts- und Steuerberatung, Wirtschaftsprüfung",Verwaltung von Vermögen und Gegenständen sowie Unternehmensberatung.,"Peter Hubert Salgert, Ludwig Salgert",Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/Salgert-Verwaltungs-GmbH-Dormagen
Skarabäus Apotheke Susanne Frisse,Maternusstr. 40 - 42,50996.0,Köln,https://www.google.de/search?q=Skarab%C3%A4us+Apotheke+Susanne+Frisse+Maternusstr.+40+-+42+50996+K%C3%B6ln,Inkontinenzhilfen%2C+ableitend,,"Maternusstraße 42, 50996 Köln",,,Pharmazie,,"Dr. Susanne Frisse, Ursula Hölz",,,,https://www.companyhouse.de/Skarabaeus-Apotheke-Susanne-Frisse-eK-Koeln
BeKaMed GmbH,Ettore-Bugatti-Str. 13,51149.0,Köln,https://www.google.de/search?q=BeKaMed+GmbH+Ettore-Bugatti-Str.+13+51149+K%C3%B6ln,Inkontinenzhilfen%2C+ableitend,+49 2203 699920,"Ettore-Bugatti-Straße 13, 51149 Köln",,,Großhandel,Sanitätshaus,Gereon Bergmann,HRB 57753 Amtsgericht Köln,,,https://www.companyhouse.de/BeKaMed-GmbH-Koeln
INNOCEPT Biobedded Medizintechnik GmbH,Am Wiesenbusch 1,45966.0,Gladbeck,https://www.google.de/search?q=INNOCEPT+Biobedded+Medizintechnik+GmbH+Am+Wiesenbusch+1+45966+Gladbeck,Inkontinenzhilfen%2C+ableitend,+49 2043 9450,"Am Wiesenbusch 1, 45966 Gladbeck",,,"Biobedded Medizintechnik, mit Fokus auf Inkontinenzprodukte, Therapiesysteme für Erektionsstörungen und Schmerztherapie","INNOCEPT Biobedded Medizintechnik GmbH konzentriert sich auf die Entwicklung und Bereitstellung effektiver Therapien für Ärzte und Patienten, insbesondere in den Bereichen Inkontinenz, Impotenz und Erektionsstörungen. Das Unternehmen legt Wert auf Patienten-Compliance und langfristigen Therapieerfolg, wobei es modernste High-Tech-Produkte einsetzt.","Dr. Harald Michel, Maria Brütting",Gesellschaft mit beschränkter Haftung,,,https://www.companyhouse.de/INNOCEPT-Biobedded-Medizintechnik-GmbH-Gladbeck
Sanitätshaus VITA GmbH,Voerder Str. 2,58256.0,Ennepetal,https://www.google.de/search?q=Sanit%C3%A4tshaus+VITA+GmbH+Voerder+Str.+2+58256+Ennepetal,Inkontinenzhilfen%2C+ableitend,,"Voerderstr. 2, 58256 Ennepetal",,,Großhandel,Handel mit medizinisch-technischen Rehabilitationsprodukten und -hilfsmitteln und Homecare-Produkten.,Sebastian Sauer,HRB 12001 Amtsgericht Hagen,,,https://www.companyhouse.de/Sanitaetshaus-Vita-GmbH-Ennepetal
Sanitätshaus Riepe GmbH & Co. KG,Mittelstr. 25,58285.0,Gevelsberg,https://www.google.de/search?q=Sanit%C3%A4tshaus+Riepe+GmbH+%26+Co.+KG+Mittelstr.+25+58285+Gevelsberg,Inkontinenzhilfen%2C+ableitend,+49 2331 39520,"Hagenerstr. 153, 58099 Hagen",riepe-hagen.de,info@riepe-hagen.de,"Sanitätshaus, Orthopädie-Technik, Reha-Technik, Kinderorthopädie, Orthopädie-Schuhtechnik, Home Care, Medizinische Fußpflege","Sanitätshaus Riepe GmbH & Co. KG ist ein professioneller Partner in den Bereichen Orthopädie-Technik, Kinderorthopädie, Orthopädie-Schuhtechnik, Reha-Technik, Home Care, Sanitätshaus und medizinische Fußpflege. Das Unternehmen zeichnet sich durch einen patientenzentrierten Ansatz und mehr als 60 Jahre Erfahrung aus.",Lars-Gunnar Stockmann,Gesellschaft mit beschränkter Haftung & Co. Kommanditgesellschaft,,,https://www.companyhouse.de/Sanitaetshaus-Riepe-GmbH-Co-KG-Hagen
Sanitätshaus Klaus Kreutzer e.K.,Kaisersstr. 108,42477.0,Radevormwald,https://www.google.de/search?q=Sanit%C3%A4tshaus+Klaus+Kreutzer+e.K.+Kaisersstr.+108+42477+Radevormwald,Inkontinenzhilfen%2C+ableitend,,,,,,,,,,,
